,0
MNST.2,0
MO.2,0
MOH.2,0
MOS.2,0
MPC.2,0
MPWR.2,0
MRK.2,0
MRNA.2,0
MRO.2,0
MS.2,0
MSCI.2,0
MSFT.2,0
MSI.2,0
MTB.2,0
MTCH.2,0
MTD.2,0
MU.2,0
NCLH.2,0
NDAQ.2,0
NDSN.2,0
NEE.2,6
NEM.2,0
NFLX.2,0
NI.2,5
NKE.2,0
NOC.2,3
NOW.2,0
NRG.2,0
NSC.2,0
NTAP.2,0
NTRS.2,0
NUE.2,0
NVDA.2,0
NVR.2,0
NWS.2,0
NWSA.2,0
NXPI.2,0
O.2,0
ODFL.2,0
OGN.2,0
OKE.2,0
OMC.2,0
ON.2,0
ORCL.2,0
ORLY.2,0
OTIS.2,0
OXY.2,0
PANW.2,0
PARA.2,0
PAYC.2,0
PAYX.2,0
PCAR.2,0
PCG.2,0
PEAK.2,0
PEG.2,1
PEP.2,0
PFE.2,1
PFG.2,0
PG.2,0
PGR.2,0
PH.2,0
PHM.2,0
PKG.2,0
PLD.2,2
PM.2,0
PNC.2,0
PNR.2,0
PNW.2,0
PODD.2,0
POOL.2,1
PPG.2,0
PPL.2,0
PRU.2,0
PSA.2,0
PSX.2,0
PTC.2,0
PWR.2,0
PXD.2,0
PYPL.2,0
QCOM.2,0
QRVO.2,0
RCL.2,0
REG.2,0
REGN.2,0
RF.2,0
RHI.2,0
RJF.2,0
RL.2,0
RMD.2,0
ROK.2,0
ROL.2,0
ROP.2,0
ROST.2,0
RSG.2,0
RTX.2,0
RVTY.2,0
SBAC.2,0
SBUX.2,0
SCHW.2,0
SEDG.2,0
SEE.2,0
SHW.2,0
SJM.2,6
SLB.2,0
SNA.2,0
SNPS.2,0
SO.2,0
SPG.2,0
SPGI.2,0
SRE.2,0
STE.2,0
STLD.2,2
STT.2,0
STX.2,0
STZ.2,0
SWK.2,0
SWKS.2,0
SYF.2,0
SYK.2,0
SYY.2,0
T.2,0
TAP.2,0
TDG.2,0
TDY.2,0
TECH.2,0
TEL.2,0
TER.2,0
TFC.2,0
TFX.2,0
TGT.2,0
TJX.2,0
TMO.2,0
TMUS.2,0
TPR.2,0
TRGP.2,0
TRMB.2,1
TROW.2,2
TRV.2,0
TSCO.2,0
TSLA.2,0
TSN.2,0
TT.2,0
TTWO.2,0
TXN.2,0
TXT.2,0
TYL.2,0
UAL.2,0
UDR.2,0
UHS.2,0
ULTA.2,0
UNH.2,1
UNP.2,0
UPS.2,0
URI.2,0
USB.2,0
V.2,0
VFC.2,0
VICI.2,0
VLO.2,0
VLTO.2,0
VMC.2,0
VRSK.2,0
VRSN.2,0
VRTX.2,0
VTR.2,0
VTRS.2,0
VZ.2,0
WAB.2,0
WAT.2,0
WBA.2,0
WBD.2,0
WDC.2,0
WEC.2,0
WELL.2,0
WFC.2,0
WHR.2,0
WM.2,0
WMB.2,0
WMT.2,0
WRB.2,0
WRK.2,0
WST.2,0
WTW.2,0
WY.2,0
WYNN.2,0
XEL.2,0
XOM.2,0
XRAY.2,1
XYL.2,0
YUM.2,1
ZBH.2,0
ZBRA.2,0
ZION.2,0
ZTS.2,0
A.3,0
AAL.3,0
AAPL.3,0
ABBV.3,0
ABNB.3,0
ABT.3,0
ACGL.3,0
ACN.3,0
ADBE.3,0
ADI.3,0
ADM.3,0
ADP.3,0
ADSK.3,0
AEE.3,2
AEP.3,0
AES.3,0
AFL.3,0
AIG.3,0
AIZ.3,0
AJG.3,0
AKAM.3,0
ALB.3,0
ALGN.3,0
ALK.3,0
ALL.3,0
ALLE.3,0
AMAT.3,0
AMCR.3,0
AMD.3,0
AME.3,0
AMGN.3,0
AMP.3,0
AMT.3,0
AMZN.3,0
ANET.3,0
ANSS.3,0
AON.3,1
AOS.3,0
APA.3,0
APD.3,0
APH.3,0
APTV.3,0
ARE.3,0
ATO.3,2
AVB.3,0
AVGO.3,0
AVY.3,0
AWK.3,3
AXON.3,0
AXP.3,0
AZO.3,0
BA.3,0
BAC.3,0
BALL.3,2
BAX.3,2
BBWI.3,0
BBY.3,0
BDX.3,0
BEN.3,0
BF.B.3,0
BG.3,0
BIIB.3,0
BIO.3,0
BK.3,0
BKNG.3,0
BKR.3,0
BLK.3,0
BMY.3,0
BR.3,0
BRK.B.3,0
BRO.3,0
BSX.3,0
BWA.3,0
BX.3,0
